,cgpa,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Job Environment,Job Security,Other Factor,Salary,Social Acceptance,flaxible Work Life Balanced,,Abroad,BCS,Bank Job,Business,Cyber Security,Data Analysis,Database Administration,Govt Job,ML/AI Engineer,Management,Networking,Other,Researcher,Software Development,Teaching
110,3.22,2,2,2,1,1,2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,3.85,3,3,2,1,2,3,3,1,1,2,2,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112,3.41,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
113,3.2742857142857145,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,0,4,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
114,3.0,1,1,2,0,0,1,1,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115,3.1,2,3,1,1,2,3,1,1,1,2,1,2,1,1,1,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
116,3.3,2,3,3,2,2,2,2,1,2,2,1,2,1,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117,3.0,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
118,3.4,1,0,1,2,2,1,2,1,1,2,2,2,2,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
119,3.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
120,3.21,2,2,2,2,2,2,2,2,2,2,3,3,2,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
121,3.5,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122,3.24,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,0,5,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,2.85,3,2,3,3,0,0,0,3,2,2,2,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
124,3.39,2,2,2,1,2,2,2,1,2,2,1,2,1,1,1,1,0,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
125,3.0,1,1,2,3,2,1,2,1,3,0,1,1,1,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,2.74,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,1,0,2,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
127,2.8,2,2,2,2,2,1,2,1,1,2,3,2,1,1,2,2,0,3,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1
128,3.0,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
